model,accuracy,avg_mse,std_mse,score
PySR,0.0,0.004700255777939304,0.010322172671100333,-0.009823875483321316
MLP_Sparse,0.0,0.0048496665985185185,0.010535526973014754,-0.010078152377637505
QLattice,0.0,0.0049163708422600445,0.010610024371666948,-0.010181391483522897
MLP_Standard,0.0,0.004891174982142889,0.010841289346878108,-0.010270723990139972
Polynomial,0.0,0.00553598425561421,0.01057302790558259,-0.010779479180240283
MLP_Dropout,0.0,0.00912562774074074,0.014239162382762377,-0.016153609645424463
PySINDy,0.0,0.010758526883334044,0.015858139993056193,-0.018567922405698403
GPLearn,0.0,0.08854637756559419,0.14121646530540335,-0.15089059180144787
